Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
HD 82943 c,HD 82943,Radial Velocity,La Silla Observatory,,[M/H],1003,1,2,2003,220.078,0.74345,622.603,0.3663,,,5935.0,1.18,1.08,0.26,4.33,27.5902,6.38964
HD 8326 b,HD 8326,Radial Velocity,Las Campanas Observatory,K2 V,,1004,1,1,2019,158.991,0.533,66.6,0.2,,,4914.0,,0.8,,,30.6862,8.47487
HD 83443 b,HD 83443,Radial Velocity,Multiple Observatories,,[Fe/H],1005,1,1,2002,2.9857,0.04,108.0622,0.01,,,5442.0,0.94,0.79,0.35,4.39,40.8991,8.0265
HD 8535 b,HD 8535,Radial Velocity,La Silla Observatory,G0 V,[Fe/H],1006,2,1,2010,1313.0,2.45,216.1244,0.15,,,6136.0,1.19,1.13,0.06,4.46,55.4401,7.56066
HD 85390 b,HD 85390,Radial Velocity,La Silla Observatory,,,1007,1,1,2009,799.52,1.373,31.46517,0.5,,,5186.0,,0.76,,4.41,33.5225,8.29462
HD 85512 b,HD 85512,Radial Velocity,La Silla Observatory,,[Fe/H],1008,1,1,2011,58.43,0.26,3.1783,0.11,,,4300.0,0.71,0.43,-0.26,4.36,11.281,7.18726
HD 8574 b,HD 8574,Radial Velocity,Haute-Provence Observatory,,[Fe/H],1009,1,1,2002,227.0,0.76,645.1949,0.3,,,6064.0,1.38,1.34,0.01,4.28,44.8264,6.98345
HD 86081 b,HD 86081,Radial Velocity,W. M. Keck Observatory,F8,[Fe/H],1010,2,1,2006,2.1378431,0.0346,470.3884,0.0119,,,5939.0,1.46,1.21,0.22,,103.936,8.58804
HD 86226 b,HD 86226,Radial Velocity,Las Campanas Observatory,G1 V,[Fe/H],1011,1,2,2009,1628.0,2.73,143.0235,0.059,,176.0,5863.0,1.05,1.02,0.018,4.4,45.683,7.7713
HD 86226 c,HD 86226,Transit,Transiting Exoplanet Survey Satellite (TESS),G1 V,[Fe/H],1012,1,2,2020,3.98442,0.049,7.25,0.075,,1311.0,5863.0,1.05,1.02,0.018,4.4,45.683,7.7713
HD 86264 b,HD 86264,Radial Velocity,Lick Observatory,,[Fe/H],1013,1,1,2009,1475.0,2.86,2224.81,0.7,,,6210.0,1.88,1.42,0.202,4.02,67.8107,7.28372
HD 8673 b,HD 8673,Radial Velocity,Thueringer Landessternwarte Tautenburg,,[M/H],1014,2,1,2009,1634.0,3.02,4513.0,0.723,,,6389.05,1.5,1.28,0.147,4.19,37.8619,6.2242
HD 86950 b,HD 86950,Radial Velocity,Multiple Observatories,K1 III,[Fe/H],1015,1,1,2016,1270.0,2.72,1144.188,0.17,,,4805.0,8.8,1.66,0.04,2.66,209.839,7.17997
HD 87646 b,HD 87646,Radial Velocity,Apache Point Observatory,G,[Fe/H],1016,3,1,2016,13.481,0.117,3941.092,0.05,,,5770.0,1.55,1.12,-0.17,4.1,73.58352,7.9295
HD 87883 b,HD 87883,Radial Velocity,Lick Observatory,,[Fe/H],1017,1,1,2009,2754.0,3.58,489.4582,0.53,,,4915.0,0.79,0.66,0.05,4.47,18.2912,7.27194
HD 88133 b,HD 88133,Radial Velocity,W. M. Keck Observatory,,,1018,1,1,2004,3.414884,0.0479,90.42263,0.031,,,5392.0,2.2,1.26,,3.88,73.6123,7.80979
HD 89307 b,HD 89307,Radial Velocity,Lick Observatory,,[Fe/H],1019,1,1,2009,2166.0,3.27,670.6213,0.2,,,5955.0,1.1,1.27,-0.13,4.46,32.0104,6.86817
HD 89345 b,HD 89345,Transit,K2,,[Fe/H],1020,1,1,2018,11.8143,0.1066,34.9613,0.22,,1089.0,5576.0,1.75,1.16,0.421,4.02,132.345,9.21702
HD 89744 b,HD 89744,Radial Velocity,Fred Lawrence Whipple Observatory,,,1021,2,1,1999,256.78,0.917,2653.8805,0.677,,,6291.0,,1.86,,4.07,38.6364,5.60551
HD 90156 b,HD 90156,Radial Velocity,La Silla Observatory,,[Fe/H],1022,1,1,2009,49.77,0.25,17.98,0.31,,,5599.0,,0.84,-0.24,4.48,21.9496,6.73951
HD 9174 b,HD 9174,Radial Velocity,Multiple Observatories,G8 IV,[Fe/H],1023,1,1,2016,1179.0,2.2,352.7913,0.12,,,5577.0,1.67,1.03,0.39,4.03,81.4893,8.22923
HD 92788 b,HD 92788,Radial Velocity,Multiple Observatories,G6 V,[Fe/H],1024,1,2,2000,325.803,0.97,1195.0408,0.35,,,5744.0,1.14,1.15,0.27,4.39,34.6538,7.13929
HD 92788 c,HD 92788,Radial Velocity,La Silla Observatory,G6 V,[Fe/H],1025,1,2,2019,11611.2975,10.5,1166.4361,0.46,,,5744.0,1.14,1.15,0.27,4.39,34.6538,7.13929
HD 92987 b,HD 92987,Radial Velocity,La Silla Observatory,G2/G3 V,[Fe/H],1026,1,1,2019,10354.8375,9.62,5364.9704,0.21,,,5770.0,1.58,1.08,-0.08,4.0,43.5339,6.85987
HD 93083 b,HD 93083,Radial Velocity,La Silla Observatory,K3 V,[Fe/H],1027,1,1,2005,143.58,0.477,117.59,0.14,,,4995.0,,0.7,0.15,4.26,28.5159,8.04206
HD 93385 b,HD 93385,Radial Velocity,La Silla Observatory,G2/G3 V,[Fe/H],1028,1,3,2021,7.3426,0.0756,4.2,0.295,,,5977.0,,1.04,0.02,4.42,43.3475,7.33769
HD 93385 c,HD 93385,Radial Velocity,La Silla Observatory,G2/G3 V,[Fe/H],1029,1,3,2021,13.18,0.112,7.1,0.2,,,5977.0,,1.04,0.02,4.42,43.3475,7.33769
HD 93385 d,HD 93385,Radial Velocity,La Silla Observatory,G2/G3 V,[Fe/H],1030,1,3,2021,45.85,0.2565,8.7,0.09,,,5977.0,,1.04,0.02,4.42,43.3475,7.33769
HD 9446 b,HD 9446,Radial Velocity,Haute-Provence Observatory,G5 V,[Fe/H],1031,1,2,2009,30.052,0.189,222.472,0.2,,,5793.0,1.0,1.0,0.09,4.53,50.3503,8.2095
HD 9446 c,HD 9446,Radial Velocity,Haute-Provence Observatory,G5 V,[Fe/H],1032,1,2,2009,192.9,0.654,578.426,0.06,,,5793.0,1.0,1.0,0.09,4.53,50.3503,8.2095
HD 94834 b,HD 94834,Radial Velocity,W. M. Keck Observatory,,,1033,1,1,2018,1576.0,2.74,400.4658,0.14,,,4798.0,4.2,1.11,,3.22,98.1609,7.30241
HD 95086 b,HD 95086,Imaging,Paranal Observatory,,,1034,1,1,2013,,55.7,1589.0,,,1000.0,,,1.6,,,86.2279,7.30915
HD 95089 b,HD 95089,Radial Velocity,W. M. Keck Observatory,,,1035,1,2,2009,464.4,1.36,400.4658,0.119,,,4918.0,5.08,1.54,,3.24,136.957,7.66056
HD 95089 c,HD 95089,Radial Velocity,W. M. Keck Observatory,,,1036,1,2,2018,1785.0,3.33,1096.5135,0.284,,,4918.0,5.08,1.54,,3.24,136.957,7.66056
HD 95127 b,HD 95127,Radial Velocity,McDonald Observatory,,[Fe/H],1037,1,1,2015,482.0,1.28,3378.5329,0.11,,,4218.0,41.01,3.7,-0.18,1.78,676.579,7.72111
HD 95338 b,HD 95338,Radial Velocity,Las Campanas Observatory,K0.5 V,[Fe/H],1038,1,1,2020,55.087,0.262,42.44,0.197,7.42,385.0,5212.0,0.87,0.83,0.04,4.54,36.9941,8.38213
HD 95544 b,HD 95544,Radial Velocity,Haute-Provence Observatory,G3 V,[Fe/H],1039,1,1,2021,2172.0,3.386,2173.9463,0.043,0.1,156.0,5722.0,1.09,1.09,0.11,4.07,87.8049,8.210671
HD 95735 c,GJ 411,Radial Velocity,Multiple Observatories,,[Fe/H],1040,1,2,2021,3190.0,3.1,18.05265,0.14,,,3719.95,0.37,0.39,-0.361,4.9,5.675773,
HD 95872 b,HD 95872,Radial Velocity,Multiple Facilities,,[Fe/H],1041,1,1,2015,4375.0,5.15,1188.6842,0.06,,,5312.0,0.84,0.7,0.41,4.43,72.2195,9.65278
HD 96063 b,HD 96063,Radial Velocity,W. M. Keck Observatory,,,1042,1,1,2011,362.5,1.11,403.6441,0.17,,,5020.0,4.75,1.37,,3.33,140.065,7.96991
HD 96127 b,HD 96127,Radial Velocity,McDonald Observatory,,[Fe/H],1043,1,1,2011,647.29999,1.42,6661.7168,0.3,,,3943.0,51.1,10.94,-0.24,2.06,587.659,6.88245
HD 96167 b,HD 96167,Radial Velocity,W. M. Keck Observatory,,,1044,2,1,2009,498.04,1.332,227.88411,0.685,,,5733.0,1.94,1.27,,3.99,85.3006,7.92849
HD 96700 b,HD 96700,Radial Velocity,La Silla Observatory,G0 V,[Fe/H],1045,1,3,2021,8.1245,0.0777,8.9,0.138,,,5845.0,,0.89,-0.18,4.39,25.4111,6.35547
HD 96700 c,HD 96700,Radial Velocity,La Silla Observatory,G0 V,[Fe/H],1046,1,3,2021,19.88,0.141,3.5,0.293,,,5845.0,,0.89,-0.18,4.39,25.4111,6.35547
HD 96700 d,HD 96700,Radial Velocity,La Silla Observatory,G0 V,[Fe/H],1047,1,3,2021,103.5,0.424,12.7,0.27,,,5845.0,,0.89,-0.18,4.39,25.4111,6.35547
HD 96992 b,HD 96992,Radial Velocity,Multiple Observatories,,[Fe/H],1048,1,1,2021,514.0,1.24,362.3262,0.41,,,4725.0,7.43,0.96,-0.45,2.76,396.082,8.27377
HD 97048 b,HD 97048,Disk Kinematics,Atacama Large Millimeter Array (ALMA),Be9.5/AO,,1049,1,1,2019,,130.0,794.575,,,,10000.0,2.25,2.4,,,183.857,8.33867
HD 97658 b,HD 97658,Radial Velocity,W. M. Keck Observatory,K1 V,[Fe/H],1050,1,1,2010,9.4897116,,8.3,0.05,,751.0,5212.0,0.73,0.85,-0.23,4.64,21.5618,7.5136
HD 98219 b,HD 98219,Radial Velocity,W. M. Keck Observatory,,,1051,1,1,2011,433.8,1.26,624.21812,0.079,,,4925.0,4.6,1.41,,3.36,113.704,7.79079
HD 98649 b,HD 98649,Radial Velocity,La Silla Observatory,G3/G5 V,[Fe/H],1052,1,1,2012,6022.9725,6.57,2158.0657,0.86,,,5790.0,1.01,1.03,0.05,4.51,42.1727,7.82889
HD 98736 b,HD 98736,Radial Velocity,W. M. Keck Observatory,,[Fe/H],1053,2,1,2018,968.8,1.864,740.5439,0.226,,,5271.0,0.93,0.92,0.36,,32.4459,7.75446
HD 99109 b,HD 99109,Radial Velocity,W. M. Keck Observatory,,[Fe/H],1054,1,1,2005,439.29999,1.11,139.8452,0.09,,,5282.0,0.98,0.76,0.35,4.34,54.7901,8.86823
HD 99492 b,HD 99492,Radial Velocity,W. M. Keck Observatory,,[Fe/H],1055,2,1,2004,17.0431,0.12,22.2481,0.25,,,4815.0,0.83,0.48,0.24,4.28,18.2038,7.26005
HD 99706 b,HD 99706,Radial Velocity,W. M. Keck Observatory,,,1056,1,2,2011,841.0,1.98,390.9309,0.25,,,4862.0,5.52,1.46,,3.09,146.6,7.37747
HD 99706 c,HD 99706,Radial Velocity,W. M. Keck Observatory,,,1057,1,2,2018,1278.0,,1808.4527,0.411,,,,,1.72,,,146.6,7.37747
HIP 105854 b,HIP 105854,Radial Velocity,Multiple Observatories,K2 III,[Fe/H],1058,1,1,2014,184.2,0.81,2606.1,0.02,,,4780.0,,2.1,0.31,2.94,78.6381,5.28614
HIP 107772 b,HIP 107772,Radial Velocity,Multiple Observatories,M0 V,,1059,1,1,2020,55.199,0.243,12.9,0.18,,,,,0.63,,,23.6434,9.93207
HIP 107773 b,HIP 107773,Radial Velocity,Multiple Observatories,K1 III,[Fe/H],1060,1,1,2015,144.3,0.72,629.3034,0.09,,,4945.0,11.6,2.42,0.03,2.6,105.18,5.36073
HIP 109384 b,HIP 109384,Radial Velocity,Haute-Provence Observatory,G5,[Fe/H],1061,1,1,2016,499.48,1.134,495.8148,0.549,,,5180.0,,0.78,-0.26,4.43,58.9582,9.387981
HIP 109600 b,HIP 109600,Radial Velocity,Haute-Provence Observatory,G5,[Fe/H],1062,2,1,2016,232.08,0.706,851.7844,0.163,,,5530.0,,0.87,-0.12,4.45,66.3361,9.003861
HIP 114933 b,HIP 114933,Radial Velocity,Multiple Observatories,K0 III,[Fe/H],1063,1,1,2021,1481.6,2.84,616.58711,0.21,,,4823.0,5.27,1.39,0.06,2.99,101.766,6.97658
HIP 116454 b,HIP 116454,Transit,K2,,[Fe/H],1064,2,1,2014,9.1205,,12.7132,0.2,,,5089.0,0.72,0.81,-0.16,4.59,62.4491,9.93208
HIP 12961 b,HIP 12961,Radial Velocity,La Silla Observatory,,[Fe/H],1065,1,1,2010,57.435,0.25,114.4188,0.17,,,3901.0,0.65,0.69,-0.14,4.65,23.371,9.59893
HIP 14810 b,HIP 14810,Radial Velocity,W. M. Keck Observatory,G5,[Fe/H],1066,1,3,2005,6.673892,0.0696,1239.537,0.14399,,,5544.0,1.07,1.01,0.24,,50.48,8.33307
HIP 14810 c,HIP 14810,Radial Velocity,W. M. Keck Observatory,G5,[Fe/H],1067,1,3,2006,147.747,0.549,416.3573,0.1566,,,5544.0,1.07,1.01,0.24,,50.48,8.33307
HIP 14810 d,HIP 14810,Radial Velocity,W. M. Keck Observatory,G5,[Fe/H],1068,1,3,2009,981.8,1.94,187.5197,0.185,,,5544.0,1.07,1.01,0.24,,50.48,8.33307
HIP 35173 b,HIP 35173,Radial Velocity,Las Campanas Observatory,K2 V,,1069,1,1,2019,41.516,0.217,12.7,0.16,,,4881.0,,0.79,,,33.1562,8.70829
HIP 38594 b,HIP 38594,Radial Velocity,Multiple Observatories,M0,,1070,1,2,2020,60.722,0.256,8.1,0.17,,,,,0.61,,,17.7886,9.08528
HIP 38594 c,HIP 38594,Radial Velocity,Multiple Observatories,M0,,1071,1,2,2020,3477.768,3.805,48.4,0.16,,,,,0.61,,,17.7886,9.08528
HIP 41378 b,HIP 41378,Transit,K2,,,1072,1,5,2016,15.572098,,,,,,6226.0,1.34,1.17,,,106.289,8.80998
HIP 41378 c,HIP 41378,Transit,K2,,,1073,1,5,2016,31.70648,,,,,,6226.0,1.34,1.17,,,106.289,8.80998
HIP 41378 d,HIP 41378,Transit,K2,,,1074,1,5,2016,1114.0,,,,,,6226.0,1.34,1.17,,,106.289,8.80998
HIP 41378 e,HIP 41378,Transit,K2,,,1075,1,5,2016,,,,,,,6226.0,1.34,1.17,,,106.289,8.80998
HIP 41378 f,HIP 41378,Transit,K2,,,1076,1,5,2016,1084.0,,,,,,6226.0,1.34,1.17,,,106.289,8.80998
HIP 4845 b,HIP 4845,Radial Velocity,Multiple Observatories,,,1077,1,1,2020,34.15,0.176,14.4,0.25,,,,,0.62,,,21.0974,9.37826
HIP 48714 b,HIP 48714,Radial Velocity,Multiple Observatories,M0.5 Ve,,1078,1,1,2020,17.818,0.112,22.9,0.5,,,,,0.58,,,10.5298,8.22861
HIP 5158 b,HIP 5158,Radial Velocity,La Silla Observatory,,[Fe/H],1079,1,2,2009,345.72,0.89,451.0,0.52,,,4962.0,,0.78,0.1,4.37,51.6026,9.80235
HIP 5158 c,HIP 5158,Radial Velocity,La Silla Observatory,,[M/H],1080,1,2,2011,9017.76,7.7,4780.1632,0.14,,,4813.0,0.75,0.78,0.17,4.58,51.6026,9.80235
HIP 54373 b,HIP 54373,Radial Velocity,Las Campanas Observatory,K5 V,,1081,1,2,2019,7.76,0.063,8.62,0.2,,,4021.0,,0.57,,,18.7168,9.64076
HIP 54373 c,HIP 54373,Radial Velocity,Las Campanas Observatory,K5 V,,1082,1,2,2019,15.144,0.099,12.44,0.2,,,4021.0,,0.57,,,18.7168,9.64076
HIP 56640 b,HIP 56640,Radial Velocity,Multiple Observatories,K1 III,[Fe/H],1083,1,1,2021,2574.9,3.73,1166.43025,0.12,,,4769.0,4.93,1.04,-0.03,2.91,122.324,7.64993
HIP 57274 b,HIP 57274,Radial Velocity,W. M. Keck Observatory,,[Fe/H],1084,1,3,2011,8.1352,0.07,6.3566,0.19,,,4510.0,0.78,0.29,0.01,4.11,25.8618,8.57069
HIP 57274 c,HIP 57274,Radial Velocity,W. M. Keck Observatory,K4 V,[Fe/H],1085,1,3,2011,32.03,0.178,130.0,0.05,,,4640.0,0.68,0.73,0.09,4.71,25.8618,8.57069
HIP 57274 d,HIP 57274,Radial Velocity,W. M. Keck Observatory,K4 V,[Fe/H],1086,1,3,2011,431.7,1.01,167.4,0.27,,,4640.0,0.68,0.73,0.09,4.71,25.8618,8.57069
HIP 63242 b,HIP 63242,Radial Velocity,Multiple Observatories,G8,[Fe/H],1087,1,1,2013,124.6,0.565,2917.56,0.23,,,4830.0,,1.54,-0.31,2.53,156.456,6.56453
HIP 65 A b,HIP 65 A,Transit,Transiting Exoplanet Survey Satellite (TESS),K4 V,[Fe/H],1088,2,1,2020,0.9809734,0.01782,1021.18779,0.0,661.0,1411.0,4590.0,0.72,0.78,0.18,4.61,61.7856,10.5895
HIP 65407 b,HIP 65407,Radial Velocity,Haute-Provence Observatory,K0,[Fe/H],1089,1,2,2016,28.125,0.177,136.03124,0.14,,,5460.0,,0.93,0.25,4.47,61.7804,9.15101
